City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Dinard,FR,2021-11-23 04:05:47,48.6314,-2.0614,47.34,69,0,11.5,clear sky
130,Hithadhoo,MV,2021-11-23 04:05:48,-0.6,73.0833,81.12,79,100,17.96,overcast clouds
131,Korhogo,CI,2021-11-23 04:05:48,9.45,-5.6333,71.53,48,2,3.53,clear sky
132,East London,ZA,2021-11-23 04:05:48,-33.0153,27.9116,65.52,86,100,18.52,moderate rain
133,Shanting,CN,2021-11-23 04:05:39,35.0753,117.4578,44.35,28,0,9.26,clear sky
134,Sorsk,RU,2021-11-23 04:05:49,54.0033,90.2467,24.55,82,71,9.89,broken clouds
135,Tomatlan,MX,2021-11-23 04:05:50,19.9333,-105.25,71.29,90,22,3.24,few clouds
136,Flagstaff,US,2021-11-23 04:00:54,35.1981,-111.6513,47.86,38,47,1.32,scattered clouds
137,Mortka,RU,2021-11-23 04:05:50,59.3322,66.0214,19.62,94,100,7.87,light snow
138,Boo,SE,2021-11-23 04:05:51,59.3333,18.2833,34.77,83,85,8.05,overcast clouds
139,Naifaru,MV,2021-11-23 04:05:51,5.4444,73.3657,81.46,76,97,14.56,overcast clouds
140,Emba,KZ,2021-11-23 04:05:52,48.8264,58.1442,34.54,98,100,8.43,light rain
141,Vila Do Maio,CV,2021-11-23 04:05:52,15.1333,-23.2167,78.4,77,5,16.26,clear sky
142,Cabo San Lucas,MX,2021-11-23 04:03:05,22.8909,-109.9124,74.52,77,1,0.0,clear sky
143,Sao Filipe,CV,2021-11-23 04:03:01,14.8961,-24.4956,80.1,63,0,7.9,clear sky
144,Champerico,GT,2021-11-23 04:05:53,14.3,-91.9167,80.26,77,100,2.46,overcast clouds
145,Seybaplaya,MX,2021-11-23 04:05:54,19.65,-90.6667,74.88,80,0,13.29,clear sky
146,Kedrovyy,RU,2021-11-23 04:04:01,56.1667,91.8167,30.61,79,57,10.67,broken clouds
147,Teofilo Otoni,BR,2021-11-23 04:05:54,-17.8575,-41.5053,63.95,99,99,2.01,overcast clouds
148,Villa De Reyes,MX,2021-11-23 04:05:55,21.8,-100.9333,53.87,82,72,8.32,broken clouds
149,Yakeshi,CN,2021-11-23 04:05:55,49.2833,120.7333,9.63,60,97,16.02,overcast clouds
150,Noumea,NC,2021-11-23 04:05:56,-22.2763,166.4572,84.18,78,100,9.95,overcast clouds
151,Port Macquarie,AU,2021-11-23 04:05:57,-31.4333,152.9167,74.89,74,63,6.71,broken clouds
152,Wewak,PG,2021-11-23 04:05:57,-3.5534,143.6268,83.62,77,43,6.26,scattered clouds
153,Itarema,BR,2021-11-23 04:05:58,-2.9248,-39.9167,80.08,80,94,13.91,overcast clouds
154,Dikson,RU,2021-11-23 04:05:58,73.5069,80.5464,-10.14,97,100,17.74,light snow
155,Cap-Aux-Meules,CA,2021-11-23 04:05:59,47.3821,-61.8597,51.08,79,100,45.75,light rain
156,Iracoubo,GF,2021-11-23 04:05:59,5.4802,-53.2011,77.59,88,78,6.71,broken clouds
157,Sigli,ID,2021-11-23 04:06:00,5.3848,95.9609,84.83,67,97,3.02,overcast clouds
158,Necochea,AR,2021-11-23 04:06:00,-38.5473,-58.7368,52.03,65,1,14.29,clear sky
159,Boyolangu,ID,2021-11-23 04:06:00,-8.1181,111.8935,81.07,75,100,0.98,overcast clouds
160,Saldanha,ZA,2021-11-23 04:01:25,-33.0117,17.9442,60.91,81,2,13.69,clear sky
161,Kisangani,CD,2021-11-23 04:06:01,0.5167,25.2,68.9,97,89,1.05,overcast clouds
162,Thompson,CA,2021-11-23 04:01:38,55.7435,-97.8558,-0.24,71,90,4.61,light snow
163,Lavrentiya,RU,2021-11-23 04:06:02,65.5833,-171.0,-2.47,93,8,10.29,clear sky
164,Provideniya,RU,2021-11-23 04:02:51,64.3833,-173.3,10.51,52,1,6.71,clear sky
165,Maceio,BR,2021-11-23 04:06:03,-9.6658,-35.7353,76.44,88,20,3.44,few clouds
166,Dunedin,NZ,2021-11-23 04:06:03,-45.8742,170.5036,55.85,63,13,5.66,few clouds
167,Port Hope,US,2021-11-23 04:03:15,43.9408,-82.7127,30.96,65,88,15.03,overcast clouds
168,Tazovskiy,RU,2021-11-23 04:06:04,67.4667,78.7,14.14,93,100,15.52,overcast clouds
169,Mehamn,NO,2021-11-23 04:06:04,71.0357,27.8492,20.75,66,100,7.87,overcast clouds
170,Carutapera,BR,2021-11-23 04:06:05,-1.195,-46.02,78.12,81,37,5.17,scattered clouds
171,Narsaq,GL,2021-11-23 04:06:05,60.9167,-46.05,19.62,73,2,7.23,clear sky
172,Padang,ID,2021-11-23 04:06:06,-0.9492,100.3543,86.05,65,100,4.65,overcast clouds
173,Ikare,NG,2021-11-23 04:06:06,7.4913,5.2322,71.62,96,49,1.9,scattered clouds
174,Pokaran,IN,2021-11-23 04:06:06,26.9167,71.9167,76.46,10,0,4.5,clear sky
175,Bredasdorp,ZA,2021-11-23 04:04:27,-34.5322,20.0403,51.28,77,22,3.24,few clouds
176,Hay River,CA,2021-11-23 04:06:07,60.8156,-115.7999,13.86,91,100,16.53,light snow
177,Isla Mujeres,MX,2021-11-23 04:06:08,21.2311,-86.731,73.45,65,17,15.52,few clouds
178,Haapiti,PF,2021-11-23 04:06:08,-17.5667,-149.8667,82.13,76,100,12.06,overcast clouds
179,Tucuman,AR,2021-11-23 04:06:09,-26.8241,-65.2226,73.04,80,70,2.1,broken clouds
180,Carnot,CF,2021-11-23 04:06:09,4.9409,15.8665,70.14,78,89,0.72,overcast clouds
181,Lebu,CL,2021-11-23 04:06:10,-37.6167,-73.65,53.83,87,0,19.69,clear sky
182,Touros,BR,2021-11-23 04:06:10,-5.1989,-35.4608,79.7,79,95,11.03,overcast clouds
183,Vila Velha,BR,2021-11-23 04:01:43,-20.3297,-40.2925,68.95,88,90,4.12,overcast clouds
184,Saint-Philippe,RE,2021-11-23 04:05:58,-21.3585,55.7679,80.19,67,28,8.21,scattered clouds
185,Ribeira Grande,PT,2021-11-23 04:06:11,38.5167,-28.7,65.91,86,20,18.54,few clouds
186,Talnakh,RU,2021-11-23 04:06:11,69.4865,88.3972,7.14,89,100,8.12,overcast clouds
187,Nikolskiy,RU,2021-11-23 04:06:12,60.9151,34.0645,19.96,86,99,3.04,overcast clouds
188,Fortuna,US,2021-11-23 04:01:52,40.5982,-124.1573,49.93,94,90,1.01,overcast clouds
189,Kholodnyy,RU,2021-11-23 04:06:12,62.7167,147.95,-21.5,100,99,0.56,overcast clouds
190,Mutoko,ZW,2021-11-23 04:06:13,-17.397,32.2268,64.96,87,100,1.68,moderate rain
191,Chokurdakh,RU,2021-11-23 04:06:13,70.6333,147.9167,-12.5,99,100,5.48,overcast clouds
192,Yaan,NG,2021-11-23 04:06:14,7.3833,8.5667,75.99,85,91,6.89,overcast clouds
193,Los Llanos De Aridane,ES,2021-11-23 04:01:43,28.6585,-17.9182,64.15,83,0,4.0,clear sky
194,Cayenne,GF,2021-11-23 04:06:14,4.9333,-52.3333,81.09,85,40,1.99,scattered clouds
195,Nikolskoye,RU,2021-11-23 04:06:15,59.7035,30.7861,27.01,96,100,5.41,overcast clouds
196,Tatvan,TR,2021-11-23 04:06:15,38.5067,42.2817,32.86,76,0,3.0,clear sky
197,Harper,LR,2021-11-23 04:06:16,4.375,-7.7169,78.28,83,10,4.59,clear sky
198,Victoria Point,AU,2021-11-23 04:06:16,-27.5833,153.3,80.56,92,91,5.01,light rain
199,Barra Do Garcas,BR,2021-11-23 04:06:17,-15.89,-52.2567,74.32,93,100,1.66,overcast clouds
200,Kaitangata,NZ,2021-11-23 04:06:17,-46.2817,169.8464,57.09,60,73,5.61,broken clouds
201,Esperance,AU,2021-11-23 04:02:08,-33.8667,121.9,63.18,67,83,16.91,broken clouds
202,Geraldton,AU,2021-11-23 04:06:18,-28.7667,114.6,76.12,46,0,20.71,clear sky
203,Kodiak,US,2021-11-23 04:06:18,57.79,-152.4072,17.11,53,1,5.75,clear sky
