City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Tulagi,SB,83.75,light rain,-9.0996,160.1476,Raiders Hotel & Dive
420,Bac Lieu,VN,85.17,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
423,Bubaque,GW,82.13,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
426,Ahuimanu,US,80.31,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
436,Porto Novo,BJ,78.48,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
437,Tabuk,PH,83.77,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
439,Trat,TH,83.98,overcast clouds,12.5,102.5,สวนหนิง-อัศ
442,Santa Cruz,BO,77.56,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
448,Hervey Bay,AU,82.04,broken clouds,-25.2986,152.8535,Shelly Bay Resort
453,Hobyo,SO,80.01,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
455,Sibolga,ID,85.06,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
459,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
463,Matara,LK,84.38,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
465,Biak,ID,83.71,broken clouds,-0.9131,122.8766,Penginapan Kim
471,Santo Tomas,PH,84.58,broken clouds,14.1079,121.1414,Microtel by Wyndham Batangas
476,Tual,ID,83.79,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
480,Kualakapuas,ID,89.76,scattered clouds,-3.0091,114.3876,Guest House Izonk
482,Mahanoro,MG,79.68,few clouds,-19.9,48.8,BUNGALOW MAHAMANINA
486,Alofi,NU,79.34,broken clouds,-19.0595,-169.9187,Taloa Heights
488,Sinnamary,GF,77.54,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
489,Ambanja,MG,77.41,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
494,Kavaratti,IN,81.28,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
